Player,POS,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Tristan Thompson,PF,6.20%,8.75,9.25,6' 7.5'',6' 8.75'',9' 0.5'',227.4,7' 1.25''
Troy Brown,SF,7.05%,9.00,9.75,6' 5.75'',6' 6.75'',8' 9'',208.0,6' 10.25''
Troy Williams,SF,10.00%,8.25,9.25,6' 5.75'',6' 6.75'',8' 6'',217.8,6' 8.25''
Tu Holloway,PG,8.50%,8.75,10.00,5' 10.5'',5' 11.75'',7' 10.5'',186.8,6' 5.5''
Ty Jerome,PG,6.50%,8.25,9.50,6' 4.25'',6' 5.5'',8' 2'',194.4,6' 4''
Ty Lawson,PG,6.60%,-,-,5' 11.25'',6' 0.5'',7' 10.5'',196.6,6' 0.75''
Tyler Cook,PF,6.10%,9.50,10.75,6' 7.25'',6' 8.75'',8' 10.5'',245.4,7' 0.5''
Tyler Dorsey,SG,4.70%,8.50,9.25,6' 3'',6' 4.5'',8' 3.5'',182.6,6' 5.25''
Tyler Ennis,PG,6.20%,8.25,8.75,6' 1'',6' 2.5'',8' 2'',181.5,6' 7.25''
Tyler Hansbrough,PF,8.50%,-,-,6' 8.25'',6' 9.5'',8' 10'',234.2,6' 11.5''
Tyler Harvey,SG,9.20%,7.75,8.75,6' 2.75'',6' 4'',8' 2.5'',181.4,6' 5.5''
Tyler Herro,SG,7.10%,8.00,8.75,6' 4.5'',6' 6'',8' 4.5'',192.4,6' 3.25''
Tyler Honeycutt,SF,5.30%,8.50,9.50,6' 6.75'',6' 8.25'',8' 9'',186.8,6' 9''
Tyler Lydon,PF,13.60%,8.75,8.75,6' 8.25'',6' 9.5'',8' 11.5'',215.0,7' 0''
Tyler Smith,SF,7.00%,-,-,6' 5.25'',6' 6'',8' 8.5'',212.0,6' 9.75''
Tyler Ulis,PG,5.20%,7.50,7.50,5' 8.75'',5' 10'',7' 4.5'',149.2,6' 2''
Tyler Zeller,PF-C,6.40%,9.00,9.75,6' 11.25'',7' 0.5'',8' 8.5'',247.4,7' 0''
Tyreke Evans,PG-SG,7.10%,-,-,6' 4'',6' 5.25'',8' 8'',220.6,6' 11.25''
Tyrone Brazelton,PG,8.10%,-,-,5' 10'',5' 11'',7' 10'',166.0,6' 1.75''
Tyrus Thomas,PF-SF,5.60%,-,-,6' 7.25'',6' 8.25'',9' 0'',217.0,7' 3''
Tyshawn Taylor,PG,4.20%,8.75,8.75,6' 2.75'',6' 4'',8' 1.5'',177.0,6' 6.25''
Tyus Battle,SG,4.00%,8.50,9.25,6' 5'',6' 6.75'',8' 6'',200.2,6' 9''
Tyus Jones,PG,6.50%,8.25,8.75,6' 0.5'',6' 2'',8' 1'',184.6,6' 5''
Udoka Azubuike,C,7.95%,9.50,10.00,6' 10'',7' 0.25'',9' 4.5'',273.8,7' 7''
V.J. Beachem,SG-SF,6.80%,8.50,9.00,6' 6.25'',6' 8'',8' 8.5'',193.4,6' 10.25''
Vander Blue,SG,4.60%,8.50,9.50,6' 3.5'',6' 5.25'',8' 4.5'',197.4,6' 6''
Victor Oladipo,SG,6.55%,8.75,9.25,6' 3.25'',6' 4.25'',8' 4.5'',213.2,6' 9.25''
Viktor Keyru,SG-PG,5.50%,-,-,6' 5.25'',6' 6'',8' 8'',202.0,6' 9.25''
Vince Hunter,PF,4.60%,9.00,8.75,6' 6.75'',6' 7.5'',8' 8.5'',208.4,6' 11''
Vladimir Golubovic,C,6.90%,-,-,6' 11.25'',7' 0.25'',9' 3.5'',258.0,7' 2.5''
Wade Baldwin IV,PG,5.20%,9.00,9.75,6' 2.5'',6' 4'',8' 4'',201.8,6' 11.25''
Wayne Ellington,SG,5.50%,-,-,6' 4.25'',6' 5.25'',8' 4'',202.4,6' 6.5''
Wayne Selden,SG,7.30%,9.00,9.25,6' 4.25'',6' 5.75'',8' 5'',232.4,6' 10.5''
Wayne Simien,PF,-%,-,-,6' 7.25'',6' 9'',8' 11'',255.8,7' 0''
Wendell Carter,C-PF,7.85%,8.50,9.00,6' 8.75'',6' 10'',9' 1'',251.4,7' 4.5''
Wesley Iwundu,SG-SF,4.00%,8.75,9.50,6' 5.5'',6' 6.75'',8' 9.5'',193.4,7' 1''
Wesley Johnson,SF,4.60%,9.00,9.50,6' 6.25'',6' 7.25'',8' 10'',206.4,7' 1''
Will Barton,SG-SF,4.10%,9.00,9.50,6' 5'',6' 6'',8' 6.5'',174.4,6' 9.75''
Will Blalock,PG,7.20%,-,-,5' 11.25'',6' 0.5'',8' 0.5'',194.0,6' 6''
Will Bynum,PG-SG,-%,-,-,5' 10.5'',5' 11.5'',7' 9'',188.8,6' 3.5''
Will Clyburn,SF-SG,6.85%,9.25,10.25,6' 5.75'',6' 7'',8' 9'',210.4,7' 0.25''
Will Conroy,PG,-%,-,-,6' 1'',6' 2'',8' 0.5'',188.6,6' 3''
William Buford,SG-SF,11.30%,8.75,10.00,6' 4'',6' 5'',8' 6'',214.6,6' 9.5''
Willie Cauley-Stein,C,6.30%,9.50,9.00,6' 11.25'',7' 0.5'',9' 3'',242.4,7' 3''
Willie Warren,SG-PG,7.60%,8.50,9.50,6' 2.5'',6' 3.75'',8' 3.5'',208.4,6' 6''
Xavier Henry,SG,4.70%,8.75,10.00,6' 5.25'',6' 6.5'',8' 9'',210.2,6' 11.25''
Xavier Thames,PG,6.40%,8.25,9.00,6' 2.25'',6' 3.5'',8' 0'',187.0,6' 4''
Yante Maten,PF-C,8.10%,9.25,10.00,6' 7.25'',6' 8.5'',8' 11.5'',246.2,7' 0.5''
Yemi Nicholson,PF-C,17.20%,-,-,6' 7.75'',6' 9.5'',8' 11'',258.0,7' 4.25''
Yue Sun,SF,5.10%,-,-,6' 7.75'',6' 8.75'',8' 9'',212.0,6' 9''
Zabian Dowdell,PG,5.10%,-,-,6' 1'',6' 3'',8' 4'',191.0,6' 10''
Zach Collins,PF-C,8.90%,8.75,9.25,6' 10.25'',7' 0'',9' 3'',232.2,7' 1''
Zach LaVine,PG,4.70%,8.25,8.75,6' 4.5'',6' 5.75'',8' 4'',180.9,6' 8.25''
Zach Norvell Jr.,SG,7.50%,8.50,9.50,6' 4.5'',6' 5.5'',8' 5'',206.4,6' 6''
Zhaire Smith,SF-SG,6.05%,8.75,8.25,6' 2.75'',6' 4'',8' 4'',198.6,6' 9.75''
Zhou Qi,PF-C,4.85%,9.25,9.50,7' 1.25'',7' 2.25'',9' 4.5'',218.2,7' 7.75''
